Experiment,Description,Best Acc (%),Best F1,Duration (s)
Exp3_Gentle,Sched(20) Only,67.92756539235413,0.6776980892083753,268
Exp1_Baseline,Vanilla,66.0764587525151,0.6617199113818049,216
Exp4_Aggressive,WD+Sched(10),61.89134808853119,0.6175187836458755,235
Exp2_OverfitFighter,Drop+WD+Sched,60.241448692152915,0.6024982045985213,206
