epoch,train_loss,train_acc,val_loss,val_acc
1,1.7976702090059773,31.285112359550563,1.7562110378192022,31.670020120724345
2,1.4476109716329681,48.103932584269664,1.637460211912791,38.75251509054326
3,1.2914831638336182,55.58286516853933,1.5596096844245226,41.89134808853119
4,1.1915908074111081,58.32162921348315,1.5789983295477354,42.17303822937626
5,1.1191612756654117,60.88483146067416,1.4913879556533618,46.116700201207244
6,1.0468443826343237,63.44803370786517,1.4425711318468437,47.84708249496982
7,0.9829703288131886,66.11657303370787,1.404579527102984,49.416498993963785
8,0.9780759530121022,67.2752808988764,1.3448732090302002,51.7102615694165
9,0.9046102239844505,69.83848314606742,1.4192823118124254,50.30181086519115
10,0.8847821341471725,69.34691011235955,1.3837824272803771,50.02012072434608
11,0.8168720432211843,72.64747191011236,1.2714476379064412,53.80281690140845
12,0.7960307477565294,73.41994382022472,1.2615927091011634,55.412474849094565
13,0.7927237588368105,72.8932584269663,1.360076414468961,53.561368209255534
14,0.79006668422999,73.17415730337079,1.2647683788568547,54.32595573440644
15,0.722937273845244,75.84269662921348,1.2249448200066884,56.498993963782695
16,0.7330983472004365,75.35112359550561,1.2363358667263618,58.18913480885312
17,0.6894302589170048,76.82584269662921,1.2114296975808265,57.585513078470825
18,0.6778248504976209,77.84410112359551,1.2344601551691692,57.545271629778675
19,0.6783420296197527,75.70224719101124,1.1713501895085359,59.798792756539235
20,0.6446692427892363,77.87921348314607,1.1294755179148455,60.04024144869215
21,0.6614312465940968,78.26544943820225,1.187992322903413,59.23541247484909
22,0.6480208111278126,78.05477528089888,1.1317034516579065,60.885311871227366
23,0.6105116495255674,79.1432584269663,1.1605373812027466,59.517102615694164
24,0.586874874120348,80.16151685393258,1.103936873949491,62.25352112676056
25,0.6073960079235977,79.28370786516854,1.0993172098428776,62.89738430583501
26,0.5367048443033454,82.61938202247191,1.0729239560090578,63.46076458752515
27,0.5114340942897154,83.53230337078652,1.0599443064286158,64.8692152917505
28,0.5032242948419592,84.02387640449439,1.0610690139807188,64.34607645875252
29,0.4960492467612363,84.12921348314607,1.0583050549030304,64.06438631790745
30,0.48958448546656064,84.93679775280899,1.0508392208661788,63.903420523138834
31,0.5052040801959091,83.70786516853933,1.0547488629817963,64.10462776659959
32,0.4907465781388658,84.02387640449439,1.0617597958980463,63.58148893360161
33,0.5040731366430775,84.16432584269663,1.0562280049690833,63.501006036217305
34,0.4827780045485229,85.46348314606742,1.060840138258078,63.501006036217305
35,0.48416623071338355,85.49859550561797,1.0448527496594648,64.06438631790745
36,0.48693279704351106,84.8314606741573,1.0484339854656122,63.86317907444668
37,0.48322069142641644,83.95365168539325,1.0627713428857999,63.17907444668008
38,0.4702309138989181,85.70926966292134,1.040763644835888,63.78269617706238
39,0.48279586082763887,85.28792134831461,1.05925701940671,63.70221327967807
40,0.47140350753671667,84.58567415730337,1.0416493301208203,63.82293762575453
41,0.4715978605358788,84.86657303370787,1.0473725979144757,63.78269617706238
42,0.4545798328485382,85.42837078651685,1.0495835110927239,64.02414486921529
43,0.47340873620483315,84.76123595505618,1.0353943743766882,64.42655935613682
44,0.4533648658334539,85.74438202247191,1.040355037420224,64.34607645875252
45,0.4492417234048415,85.53370786516854,1.0342653500728118,64.2655935613682
46,0.43871036339341923,86.69241573033707,1.0381592443356147,64.10462776659959
47,0.46351271867752075,85.67415730337079,1.0338668345640867,64.42655935613682
48,0.44504998440153143,85.81460674157303,1.0312354977314289,64.1851106639839
49,0.45800690503602615,86.27106741573034,1.032203448506502,64.30583501006036
50,0.49808106981636435,83.77808988764045,1.0298105279604595,64.30583501006036
