accuracy,loss,val_accuracy,val_loss,learning_rate
0.29583045840263367,2.620664596557617,0.04227941110730171,2.9446871280670166,0.0003000000142492354
0.34052619338035583,2.3849353790283203,0.2534722089767456,2.3204071521759033,0.0003000000142492354
0.399646133184433,2.197004556655884,0.2783905267715454,2.0817339420318604,0.0003000000142492354
0.4511116147041321,2.0585572719573975,0.2945261299610138,2.1341679096221924,0.0003000000142492354
0.5026540756225586,1.912796974182129,0.44342321157455444,1.747688889503479,0.0003000000142492354
0.5399646162986755,1.8214411735534668,0.35375815629959106,1.8120745420455933,0.0003000000142492354
0.5621970891952515,1.7558563947677612,0.4154411852359772,1.6918590068817139,0.0003000000142492354
0.580544650554657,1.7087715864181519,0.48917484283447266,1.5313223600387573,0.0003000000142492354
0.5993922352790833,1.6560109853744507,0.3839869201183319,1.803372859954834,0.0003000000142492354
0.6153935194015503,1.6184755563735962,0.5093954205513,1.4984781742095947,0.0003000000142492354
0.6248942017555237,1.5911767482757568,0.47671568393707275,1.6157788038253784,0.0003000000142492354
0.6363182067871094,1.5632227659225464,0.5071486830711365,1.5385998487472534,0.0003000000142492354
0.6443957090377808,1.5385910272598267,0.539419949054718,1.4143471717834473,0.0003000000142492354
0.6510500907897949,1.5242395401000977,0.5471813678741455,1.406651258468628,0.0003000000142492354
0.6587814688682556,1.498435378074646,0.5435048937797546,1.4811806678771973,0.0003000000142492354
0.6663205027580261,1.4841830730438232,0.5232843160629272,1.504377841949463,0.0003000000142492354
0.6679359674453735,1.4699211120605469,0.5375816822052002,1.4335625171661377,0.0003000000142492354
0.6757827401161194,1.459504246711731,0.563725471496582,1.3850880861282349,0.0003000000142492354
0.6811293363571167,1.4411375522613525,0.5555555820465088,1.376293420791626,0.0003000000142492354
0.6850142478942871,1.4311397075653076,0.5473856329917908,1.3889042139053345,0.0003000000142492354
0.6886298656463623,1.4158443212509155,0.5894607901573181,1.3392058610916138,0.0003000000142492354
0.693591833114624,1.4084649085998535,0.5825163125991821,1.3394066095352173,0.0003000000142492354
