epoch,train_loss,train_acc,val_loss,val_acc
1,4.291021906005012,20.997191011235955,2.310749115088047,22.132796780684103
2,1.808161687850952,36.973314606741575,2.007723861779922,28.00804828973843
3,1.5525440110100641,42.76685393258427,1.8070937211696918,38.028169014084504
4,1.4573239882787068,49.29775280898876,1.7696497577887316,39.47686116700201
5,1.3256695416238573,54.45926966292135,1.7152022581834059,40.6841046277666
6,1.1749694599045648,58.00561797752809,1.6144683957099915,44.94969818913481
7,1.047575795650482,64.32584269662921,1.4835379077838018,48.61167002012073
8,1.0450070752037897,65.1685393258427,1.4735527634620667,50.181086519114686
9,1.0015681081347996,65.34410112359551,1.4289808456714337,52.63581488933602
10,0.8509276880158319,71.17275280898876,1.3459772834411035,53.440643863179076
11,0.8989568405681186,70.11938202247191,1.4358374033218775,52.354124748490946
12,0.8853082815806071,70.47050561797752,1.4001047015190125,52.51509054325956
13,0.8069145388073391,72.01544943820225,1.3527266184488933,54.60764587525151
14,0.7436678224139743,75.03511235955057,1.2918177040723653,56.98189134808853
15,0.7418386280536652,74.78932584269663,1.1916512250900269,58.75251509054326
16,0.6678278770711686,77.35252808988764,1.324875227151773,57.625754527162975
17,0.6665502223703597,77.00140449438203,1.3259266798312848,55.8953722334004
18,0.6245182368490431,78.01966292134831,1.212954695408161,59.47686116700201
19,0.6072783523135715,78.40589887640449,1.3046340911816328,58.6317907444668
20,0.599229347705841,79.88061797752809,1.3405325259917822,58.51106639839034
21,0.5800873895486196,79.98595505617978,1.3233828055552948,59.23541247484909
22,0.5682351933585272,80.61797752808988,1.2012814451486638,61.730382293762574
23,0.5725044171015422,80.47752808988764,1.312654666411571,59.114688128772634
24,0.5328705761167738,82.51404494382022,1.1193090371596508,63.74245472837022
25,0.5244530320167542,81.53089887640449,1.1832643395815141,62.09255533199195
26,0.43753484355078803,85.5688202247191,1.0692255321221473,65.67404426559357
27,0.40309725768036314,87.0435393258427,1.0261536836624146,66.72032193158954
28,0.3759930796093411,87.74578651685393,1.0264474413333795,66.96177062374245
29,0.38882705834176806,86.93820224719101,1.0119510323573382,66.72032193158954
30,0.3658429026603699,87.99157303370787,1.029411637630218,66.80080482897384
31,0.36064398023817273,88.86938202247191,1.0164915048159087,67.28370221327968
32,0.33704257508118945,89.00983146067416,1.0204785909408178,67.36418511066398
33,0.36232295996612973,88.34269662921348,1.0087772531387134,68.2092555331992
34,0.3388284017642339,89.4311797752809,0.9995471926835867,68.00804828973843
35,0.33239498403337264,89.53651685393258,1.001780396852738,68.08853118712274
36,0.3530917866362466,88.55337078651685,1.0237708351550958,67.48490945674044
37,0.3373908758163452,89.25561797752809,1.0119182475102253,67.40442655935614
38,0.3335072911447949,89.25561797752809,0.986110005623255,68.45070422535211
39,0.3208740214506785,89.95786516853933,0.9930466795578982,68.73239436619718
40,0.3376460588640637,88.83426966292134,0.9892998261329455,68.2897384305835
41,0.3417154163122177,89.25561797752809,1.0000385619126833,68.24949698189135
42,0.3018959179520607,90.69522471910112,0.9993391464918088,68.9738430583501
43,0.30542459454801346,91.11657303370787,1.0158413679171832,67.92756539235413
44,0.27371654311815896,91.53792134831461,1.0238942289963746,68.53118712273641
45,0.2991582059197956,90.55477528089888,1.0119442634093456,68.85311871227364
46,0.30187367565102047,90.8005617977528,1.0275599727263818,67.80684104627767
47,0.3047541214360131,90.51966292134831,0.9942604685441042,68.81287726358148
48,0.2763485653532876,91.36235955056179,1.040468657628084,67.5251509054326
49,0.286577374736468,90.73033707865169,0.99903931755286,68.69215291750503
50,0.2908861249685287,90.90589887640449,1.009296321716064,68.81287726358148
